cell,arm,dock,period,phase,nav,outcome,docked,t_dock_s,capture_lateral_m,capture_vertical_m,capture_offset_m,closing_speed_m_s,contact_offset_m,contact_speed_m_s,meas_err_rms_cm,track_err_rms_cm,vel_err_rms_m_s,vel_amp_ratio,vel_err_corr_vehicle,vel_err_corr_nav,veh_over_dock,blackout_frac,n_demotions,n_stale,n_gaps_gt1s
overnight_static_static_p0_ph0.0,static,static,0.0,0.0,,CLEAN,True,19.32,0.0004,0.0092,0.0092,0.0867,nan,nan,0.1887,0.0361,0.0,0.0,nan,nan,nan,0.0258,0,1,1
overnight_static_sway_p10_ph0.0,static,sway,10.0,0.0,,CLEAN,True,20.255,0.0037,-0.0037,0.0052,0.0874,nan,nan,3.055,3.4634,0.0423,0.0,-0.6849,nan,0.781,0.1333,0,1,1
overnight_static_sway_p10_ph2.094,static,sway,10.0,2.094,,CLEAN,True,18.808,-0.0102,-0.0002,0.0102,0.0874,nan,nan,0.198,3.083,0.0423,0.0,-0.7359,nan,0.8918,0.2264,0,1,1
overnight_static_sway_p10_ph4.189,static,sway,10.0,4.189,,CONTACT,True,79.105,-0.0188,0.0243,0.0308,0.0875,0.1506,0.0278,0.2938,3.7056,0.0446,0.0,-0.3848,nan,0.8748,0.1525,3,5,2
overnight_static_sway_p12_ph0.0,static,sway,12.0,0.0,,CLEAN,True,19.054,-0.0191,0.0196,0.0274,0.0885,nan,nan,0.1715,3.5079,0.0368,0.0,-0.6978,nan,0.934,0.0362,0,1,1
overnight_static_sway_p12_ph2.094,static,sway,12.0,2.094,,CLEAN,True,21.094,0.0025,0.0217,0.0219,0.0871,nan,nan,0.3086,2.5385,0.0369,0.0,-0.7105,nan,0.8326,0.0,0,1,0
overnight_static_sway_p12_ph4.189,static,sway,12.0,4.189,,CLEAN,True,19.318,-0.01,-0.0052,0.0113,0.0938,nan,nan,0.3018,2.5304,0.0363,0.0,-0.7403,nan,0.8679,0.093,0,1,1
overnight_static_sway_p16_ph0.0,static,sway,16.0,0.0,,CLEAN,True,17.086,0.0022,0.0072,0.0076,0.0805,nan,nan,0.2222,3.025,0.0271,0.0,-0.7045,nan,0.9917,0.0052,0,1,0
overnight_static_sway_p16_ph2.094,static,sway,16.0,2.094,,CLEAN,True,18.569,-0.0018,-0.0022,0.0028,0.0875,nan,nan,0.3929,2.5905,0.0289,0.0,-0.6065,nan,1.0275,0.1076,0,1,1
overnight_static_sway_p16_ph4.189,static,sway,16.0,4.189,,CLEAN,True,18.752,-0.0057,0.0187,0.0195,0.0943,nan,nan,0.3246,2.6278,0.027,0.0,-0.6727,nan,0.8886,0.0,0,1,0
overnight_static_sway_p20_ph0.0,static,sway,20.0,0.0,,CLEAN,True,17.054,-0.0033,0.0139,0.0143,0.0853,nan,nan,0.2777,2.0181,0.0235,0.0,-0.6472,nan,1.0922,0.0,0,1,0
overnight_static_sway_p20_ph2.094,static,sway,20.0,2.094,,CLEAN,True,17.474,0.0015,0.0167,0.0167,0.0926,nan,nan,0.2759,2.5627,0.0209,0.0,-0.6859,nan,0.8803,0.0,0,1,0
overnight_static_sway_p20_ph4.189,static,sway,20.0,4.189,,CLEAN,True,19.765,-0.0034,0.0058,0.0067,0.09,nan,nan,0.183,2.3616,0.0223,0.0,-0.6697,nan,0.981,0.1019,0,1,1
overnight_static_sway_p6_ph0.0,static,sway,6.0,0.0,,CLEAN,True,22.493,0.0412,0.0099,0.0423,0.0871,nan,nan,0.2766,4.6401,0.0734,0.0,-0.5298,nan,0.9277,0.1062,0,2,1
overnight_static_sway_p6_ph2.094,static,sway,6.0,2.094,,CLEAN,True,21.234,-0.029,0.0306,0.0421,0.0802,nan,nan,0.3084,5.0821,0.0743,0.0,-0.536,nan,0.9171,0.0,0,2,0
overnight_static_sway_p6_ph4.189,static,sway,6.0,4.189,,CLEAN,True,22.952,0.0256,-0.0035,0.0258,0.089,nan,nan,0.2408,5.3443,0.075,0.0,-0.5235,nan,0.8622,0.2269,0,3,2
overnight_static_sway_p8_ph0.0,static,sway,8.0,0.0,,CLEAN,True,23.26,0.0115,-0.0083,0.0142,0.0854,nan,nan,0.1917,2.9625,0.0558,0.0,-0.6672,nan,0.8018,0.0,0,1,0
overnight_static_sway_p8_ph2.094,static,sway,8.0,2.094,,CLEAN,True,19.202,0.001,-0.0084,0.0085,0.0773,nan,nan,0.2134,3.3799,0.0538,0.0,-0.7268,nan,0.9192,0.0,0,1,0
overnight_static_sway_p8_ph4.189,static,sway,8.0,4.189,,CLEAN,True,20.684,-0.0066,0.0294,0.0301,0.0945,nan,nan,0.8942,3.3553,0.0523,0.0,-0.7073,nan,0.9489,0.0,0,1,0
overnight_sway_static_p0_ph0.0,sway,static,0.0,0.0,,CLEAN,True,21.448,0.0069,0.0066,0.0096,0.0923,nan,nan,0.303,0.294,0.0082,8208031.0415,-0.0387,nan,nan,0.0202,0,1,1
overnight_sway_sway_p10_ph0.0,sway,sway,10.0,0.0,,CLEAN,True,28.66,-0.0135,0.0021,0.0137,0.0829,nan,nan,0.1858,1.1288,0.0169,0.8795,-0.3369,nan,1.2245,0.1208,0,2,1
overnight_sway_sway_p10_ph2.094,sway,sway,10.0,2.094,,CLEAN,True,26.788,-0.0154,-0.0126,0.0199,0.0694,nan,nan,0.2381,1.7387,0.0229,0.7821,-0.3323,nan,1.0875,0.1285,0,2,1
overnight_sway_sway_p10_ph4.189,sway,sway,10.0,4.189,,CLEAN,True,32.214,-0.0384,0.0082,0.0392,0.0683,nan,nan,0.1985,1.409,0.0182,0.8457,-0.242,nan,1.1158,0.0916,0,2,1
overnight_sway_sway_p12_ph0.0,sway,sway,12.0,0.0,,CLEAN,True,30.81,0.0036,0.0218,0.0221,0.0766,nan,nan,0.2727,0.4772,0.0135,0.9061,-0.3458,nan,1.1462,0.006,0,1,0
overnight_sway_sway_p12_ph2.094,sway,sway,12.0,2.094,,CLEAN,True,26.021,0.0429,0.0219,0.0482,0.0651,nan,nan,0.259,0.9065,0.0151,0.9393,-0.1751,nan,1.1254,0.0105,0,1,0
overnight_sway_sway_p12_ph4.189,sway,sway,12.0,4.189,,CLEAN,True,28.293,0.0283,0.0104,0.0301,0.0785,nan,nan,0.1887,1.3284,0.0191,0.8012,-0.2373,nan,1.1784,0.0456,0,1,1
overnight_sway_sway_p16_ph0.0,sway,sway,16.0,0.0,,CLEAN,True,25.34,0.0144,0.0129,0.0193,0.0787,nan,nan,0.1766,0.2612,0.0082,0.9143,-0.3648,nan,1.165,0.0134,0,1,0
overnight_sway_sway_p16_ph2.094,sway,sway,16.0,2.094,,CLEAN,True,22.972,0.0191,0.0112,0.0221,0.0862,nan,nan,0.3104,0.4067,0.0114,0.8829,-0.4254,nan,1.1229,0.0,0,1,0
overnight_sway_sway_p16_ph4.189,sway,sway,16.0,4.189,,CLEAN,True,25.258,-0.0304,0.006,0.031,0.0711,nan,nan,0.2673,0.4222,0.0135,0.8263,-0.2277,nan,1.035,0.0,0,1,0
overnight_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,CLEAN,True,25.06,-0.013,-0.0053,0.0141,0.0917,nan,nan,0.2842,0.5313,0.0109,1.0353,0.1526,nan,0.9967,0.0147,0,1,0
overnight_sway_sway_p20_ph2.094,sway,sway,20.0,2.094,,CLEAN,True,23.719,-0.0055,0.0185,0.0193,0.0812,nan,nan,0.3045,0.5633,0.0105,1.0589,-0.2055,nan,0.951,0.0179,0,1,1
overnight_sway_sway_p20_ph4.189,sway,sway,20.0,4.189,,CLEAN,True,26.427,0.0084,0.0018,0.0086,0.0813,nan,nan,0.6968,0.495,0.0095,1.0235,-0.1252,nan,0.9601,0.0164,0,1,1
overnight_sway_sway_p6_ph0.0,sway,sway,6.0,0.0,,CONTACT,False,nan,-0.0872,-0.0014,0.0873,0.0206,0.1529,0.0043,0.2902,1.2296,0.0319,0.8241,-0.4669,nan,1.5517,0.0091,1,1,0
overnight_sway_sway_p6_ph2.094,sway,sway,6.0,2.094,,CLEAN,True,45.715,0.0062,0.0108,0.0124,0.0366,nan,nan,0.2853,3.0253,0.0416,0.7924,-0.3611,nan,1.5527,0.013,0,1,0
overnight_sway_sway_p6_ph4.189,sway,sway,6.0,4.189,,CONTACT,False,nan,0.0524,0.0248,0.058,0.0358,0.1505,0.0073,0.3567,1.1965,0.0351,0.7932,-0.4497,nan,1.5569,0.0153,1,1,1
overnight_sway_sway_p8_ph0.0,sway,sway,8.0,0.0,,CLEAN,True,28.024,-0.0181,0.0024,0.0182,0.047,nan,nan,0.2453,2.49,0.0308,0.7896,-0.3356,nan,1.3234,0.0,0,1,0
overnight_sway_sway_p8_ph2.094,sway,sway,8.0,2.094,,CLEAN,True,35.049,0.0003,0.0027,0.0027,0.0769,nan,nan,0.299,1.9681,0.0321,0.8608,-0.3275,nan,1.4786,0.2327,0,3,3
overnight_sway_sway_p8_ph4.189,sway,sway,8.0,4.189,,CONTACT,False,nan,0.0281,0.0288,0.0402,0.0767,0.1511,0.0146,0.1618,0.6675,0.0201,0.8537,-0.4759,nan,1.4428,0.0027,1,1,0
sweep_20260723_113134_sway_sway_p20_ph0.0,sway,sway,20.0,0.0,,CLEAN,True,27.166,-0.0278,0.0037,0.028,0.0899,nan,nan,0.6076,0.594,0.0137,0.9963,-0.081,nan,0.9317,0.0,0,1,0
